days,ABU,AFG,ALD,ANH,ARG,AST,ATJ,AUS,AWA,BAD,BAL,BAS,BAV,BEL,BER,BHO,BHU,BIK,BOH,BOL,BRA,BRE,BRU,BRZ,BUK,BUN,BUR,CAM,CHI,CHL,CLM,COB,DAI,DEN,ECU,EGY,ENG,ETH,FRA,FRM,GER,GRE,GWA,GXI,HAI,HAM,HAN,HAW,HDJ,HEK,HES,HOL,HYD,IND,ION,ITA,JAI,JAP,JAS,JOD,JOH,KAL,KHI,KOK,KOR,KRA,KUK,KUT,LIB,LIP,LUA,LUB,LUC,LUX,MAD,MAK,MCK,MEC,MEI,MEW,MEX,MGL,MOD,MOL,MON,MOR,MYS,NAG,NAS,NEJ,NEP,NET,NGF,OLD,OMA,ORA,ORI,PAN,PAP,PAR,PER,PEU,POR,PRG,PRU,RUS,SAR,SAX,SER,SIA,SIC,SIK,SIN,SOK,SPA,SWE,SWI,TIB,TRA,TRN,TUR,TUS,UCA,URU,USA,VNZ,WAL,WEI,WUR,XBI,XIN,YEM,YNN,ZUL
1494,1,111,10,9,29,,28,3257,459,97,26,22,302,473,228,18,1,53,,66,12,16,7,310,44,94,162,93,7733,37,61,22,228,113,32,356,13097,107,4134,21,,63,22,4476,12,20,103,2,8,56,116,22,556,77,10,,133,861,24,101,16,3,13,36,399,42,,7,23,6,32,1,29,10,144,2,550,36,15,53,360,96,55,103,5,28,115,171,47,6,16,1172,,29,26,19,25,255,345,26,284,58,322,29,1371,4604,273,130,58,222,518,0,53,178,888,384,107,61,56,15,1819,157,103,6,1558,44,79,74,149,1292,56,7,1664,9
3446,1,113,10,11,32,,19,3253,424,147,24,22,435,692,242,11,1,51,,104,27,2,7,363,37,88,201,94,8400,43,70,22,247,101,45,387,14636,103,4524,29,,72,36,4800,20,50,91,4,8,67,101,26,562,78,11,,129,924,18,130,17,3,14,34,425,48,,14,27,10,,6,5,8,192,2,553,54,13,71,351,98,51,84,5,31,117,160,32,6,44,1111,,33,25,17,45,306,324,49,322,49,42,34,1479,5009,338,136,58,208,567,0,56,188,827,334,200,60,46,14,1599,177,147,8,1534,48,94,72,127,1526,83,10,1735,
5148,1,93,,12,49,,24,3561,458,181,29,29,477,495,326,18,1,63,,67,31,1,7,300,44,80,169,94,8714,42,53,30,319,130,40,435,14520,106,4815,24,,100,80,5106,28,35,103,6,6,67,109,23,498,78,20,,163,1016,22,193,,3,13,23,418,47,,16,29,13,,0,18,12,157,2,681,47,13,89,298,136,53,88,8,64,65,169,32,11,52,1469,,24,23,28,33,297,371,15,471,40,167,28,1637,5953,393,122,38,153,1080,0,54,67,1504,368,205,55,47,14,1596,158,122,18,1699,75,74,45,148,1344,57,7,1776,
7114,1,80,,19,51,,12,2847,238,119,24,,268,467,279,10,1,18,,111,33,1,4,409,47,64,232,95,7260,48,65,31,299,123,44,380,12975,96,4908,20,,52,104,3518,25,28,133,4,6,48,30,22,262,66,20,,85,1218,17,196,,3,10,25,383,40,,8,15,12,,0,4,9,130,1,467,46,9,98,488,68,23,77,6,39,32,151,21,7,33,1118,,11,26,21,27,202,356,8,300,43,222,25,1197,5223,329,63,49,193,1303,0,55,119,1372,396,227,59,88,18,1147,120,118,15,1429,48,112,41,40,886,41,7,1317,
9166,1,61,,24,62,,14,4056,370,236,22,,778,762,412,42,1,64,,125,40,2,5,520,91,80,194,91,9837,75,73,38,265,180,48,305,15816,90,5616,11,,106,,4447,35,42,285,9,5,117,140,30,471,67,20,,175,1331,33,202,,2,18,25,410,103,,15,24,27,,2,5,19,122,2,601,73,18,111,570,106,60,134,5,68,59,169,43,5,53,1578,,21,23,36,23,412,403,14,404,96,253,51,2189,6829,383,171,72,270,1648,0,56,140,1919,1023,307,47,78,28,2051,189,129,23,2701,67,175,54,132,1589,69,7,1772,
10684,0,0,,,69,,12,4871,400,225,23,,1202,1014,378,43,1,71,,123,,,6,516,62,74,205,79,9994,76,66,,181,108,60,141,15628,175,8371,,,177,,4451,62,,,,4,,,,414,81,,,114,1718,31,152,,2,12,11,560,112,,16,35,,,,4,21,,2,666,,,84,569,84,68,122,6,24,72,188,,3,60,2578,3296,,21,42,29,386,452,13,485,90,249,39,,6409,469,,75,245,2011,0,48,104,2159,967,340,34,83,25,2073,134,118,16,4118,67,192,,142,1475,66,6,1758,
12441,0,74,,,76,,14,,580,,22,,,1096,713,56,1,102,,152,,,6,727,69,116,257,88,10458,109,78,,187,210,64,157,17839,180,10761,,9773,237,,5107,79,,,,4,,,,522,87,,5486,250,1946,58,240,,2,15,20,597,95,4689,19,55,,,,,34,,2,774,,,129,592,98,,204,12,69,75,348,,2,91,3200,,,20,51,37,452,,,602,93,413,57,,6826,,,95,279,,0,51,119,2314,1109,475,31,108,44,2219,,148,20,5251,107,248,,,1408,72,5,1918,
13454,0,77,,,75,,13,,543,,18,,,808,569,61,2,94,,147,,,5,1041,71,129,272,84,9914,120,89,,187,238,64,169,18398,154,12046,,11763,237,,5293,88,,,,4,,,,767,88,,5264,265,1916,51,357,,3,15,21,664,80,4785,22,56,,,,,45,,3,684,,,229,612,103,,210,12,50,90,394,,,108,3334,,,17,57,40,494,,,533,103,257,61,,7162,,,66,289,,0,40,95,2548,1172,530,31,150,48,2261,,165,17,5981,113,252,,,1298,80,4,1967,
14291,0,70,,,61,,14,,536,,17,,,837,309,8,1,76,,144,,,5,1019,77,133,275,76,9158,100,86,,203,261,54,161,17764,166,12448,,12041,274,,5045,91,,,,5,,,,680,82,,8399,214,1846,50,304,,,11,29,641,93,4630,20,55,,,,,46,,3,746,,,239,623,95,,216,11,52,86,533,,,118,3084,,,21,80,40,417,,,531,110,309,61,,7593,,,76,289,,0,40,127,2407,1261,509,37,139,49,2259,,177,24,6700,123,246,,,1076,83,5,1644,
16429,0,67,,,64,33,12,,588,,18,,,815,358,10,1,80,,167,,,6,1053,60,124,211,86,9661,121,105,,167,317,69,206,18588,169,14496,,6685,186,,5391,92,,,,3,,,,411,75,,9709,130,3138,47,274,,,10,24,524,87,4984,18,42,,,,,38,,3,544,,,144,527,98,,115,5,21,70,329,,,126,3308,,,16,75,,371,,,608,105,299,32,,9259,,,94,235,,0,39,,3304,1234,791,21,116,33,1922,,182,21,7021,121,204,,,1094,75,4,2111,
