Страна,ВВП,Отношение к общему ВВП (%),Население,Отношение к общему населению (%),ВВП на душу населения,Скорость обращения накоплений(x100),Промежуточное потребление,Доля промышленности,Стоимость гос. субсидий,Доля субсируемых предприятий (%),Средняя доходность предприятия,Средняя рентабельность предприятия (%),Индекс Джини,Валовый выпуск,Занятость на фабриках,Безработица на заводах,Средняя занятость добывающего сектора,Безработица на добывающем секторе,Средняя з/п рабочего на фабрике,Средний доход капиталиста,Общее число рабочего населения,Количество свободных рабочих мест на фабриках,Грамотность,Диверсифицированность экономики,Наземный бюджет,Иновационность армии,Морской бюджет,Иновационность флота,Золотой запас,Золотодобыча,Доля ввп в 4-x крупнейших регионах,Размер страны в регионах,Экономическая плотность (ввп на регион),Плотность населения (население на регион),Тип правления,Общая денежная масса,Средние сбережения населения,Запасы гос.банка
Глобальные показатели,462769,100.0,2098432188,100.0,22.053,9.773,360954,0.093,76.797,12.563,11.89,-6.48,0.463,1059057,53716604,40093396.0,40.008,364636724.0,7.838,1.475,303.269,418353328,56.528,149.874,61328,26.957,46444,13.374,304138891.769,8704,0.895,659,318.868,2419663.774,unkwonw,311072594.799,0.119,6637981.03
GER,91838,19.85,119210944,5.68,77.038,0.341,93947,0.87,0.0,0.0,373.41,59.1,0.829,198343,11790342,5.14,11047433.0,19.32,10.358,2582.6,22837775.0,7159658,97.09,0.005,9985,40.0,6892,34.0,25416467.296,668,0.364,32,2869.938,3725342.0,democracy,26949009.356,0.511,1471585.06
SPC,59684,12.9,167640772,7.99,35.602,0.277,45336,0.61,0.0,0.0,174.712,52.8,0.62,130496,6775206,3.24,28808494.0,6.18,9.37,2931.7,35583700.0,3544794,82.7,0.006,3301,40.0,11881,36.0,21165845.249,212,0.315,57,1047.088,2941066.0,hms_government,21553041.269,0.196,354258.02
USA,58468,12.63,123501240,5.89,47.342,0.2,59689,0.72,2163.384,29.0,94.999,46.5,0.751,131387,9323338,14.27,15452384.0,3.81,6.738,1631.9,24775722.0,4696662,99.35,0.005,5623,40.0,884,36.0,27998671.188,1008,0.326,45,1299.289,2744472.0,democracy,29211377.128,0.324,1172658.94
KUK,38768,8.38,101250380,4.83,38.289,0.152,31974,0.62,488.532,22.81,105.354,52.0,0.656,83522,4954221,0.92,14738554.0,13.37,7.388,2529.1,19692775.0,3325779,88.69,0.004,9026,40.0,13,24.0,25380226.874,273,0.427,32,1211.5,3164074.0,democracy,25561662.134,0.091,172175.26
TKG,26918,5.82,72181404,3.44,37.292,0.127,29639,0.44,0.0,0.0,184.16,25.6,0.594,67688,3813418,13.89,11352233.0,1.36,4.95,1381.0,15165651.0,2286582,81.26,0.005,5280,40.0,6312,34.0,21159960.109,604,0.557,14,1922.714,5155814.0,prussian_constitutionalism,21248136.529,0.286,67509.42
NET,24709,5.34,97240852,4.63,25.41,0.166,9683,0.31,0.0,0.0,217.567,56.0,0.526,42502,1374855,0.0,18462977.0,12.75,10.018,4121.5,19837832.0,925145,76.48,0.006,2087,40.0,3281,36.0,14114166.118,1580,0.543,28,882.464,3472887.0,hms_government,14860462.708,0.239,723010.59
FRA,21749,4.7,55929540,2.67,38.886,0.269,15211,0.6,93.528,6.12,74.791,56.5,0.619,49840,2042099,29.19,8646814.0,5.64,10.994,3098.6,10688913.0,1897901,88.56,0.004,4043,40.0,3688,36.0,7989007.536,261,0.333,31,701.581,1804178.0,democracy,8091125.146,0.215,90112.61
SCA,19089,4.12,58236192,2.78,32.779,0.267,15718,0.51,385.474,34.85,97.034,38.0,0.631,44602,1866207,0.48,10027488.0,11.36,8.474,1558.4,11893695.0,1643793,84.37,0.005,2564,40.0,4326,38.0,6405576.269,469,0.616,18,1060.5,3235344.0,hms_government,7141825.579,0.196,724806.31
HND,9761,2.11,226736132,10.81,4.305,97.729,1248,0.0,0.0,0.0,0.0,0.0,0.457,20356,0,0.0,51473761.0,0.0,0.0,0.0,51473761.0,0,59.94,4.1,46,4.0,78,0.0,1235.291,0,0.66,19,513.737,11933480.0,absolute_monarchy,9987.861,0.039,4.57
POR,9471,2.05,44516476,2.12,21.275,0.152,2673,0.08,132.621,25.0,29.167,20.5,0.443,15502,429459,2.23,9306745.0,4.49,1.639,112.0,9736204.0,400541,57.89,0.007,1479,40.0,4,24.0,6192095.936,0,0.656,20,473.55,2225823.0,democracy,6217850.286,0.177,17878.35
CHI,8855,1.91,295973456,14.1,2.992,92.12,1821,0.0,0.0,0.0,-1.886,-24.7,0.504,30397,54688,89.9,61277033.0,5.81,0.01,0.4,61331721.0,805312,17.54,0.707,32,18.0,0,12.0,1712.431,0,0.373,28,316.25,10570480.0,fascist_dictatorship,9612.431,0.027,0.0
RUS,8852,1.91,93919644,4.48,9.425,35.911,3426,0.14,0.0,0.0,9.902,28.9,0.529,30154,828213,61.85,15152691.0,10.23,2.97,121.5,15980904.0,1541787,61.18,0.019,565,40.0,302,14.0,0.0,94,0.454,36,245.889,2608879.0,fascist_dictatorship,24650.15,0.056,19433.15
ITA,8660,1.87,58289836,2.78,14.857,0.382,3467,0.13,29.627,11.11,46.031,24.9,0.549,25196,1391933,10.77,10061881.0,9.73,1.238,2989.5,11453814.0,478067,76.34,0.007,2556,40.0,1363,20.0,2190005.249,123,0.541,17,509.412,3428813.0,proletarian_dictatorship,2267304.599,0.096,71717.35
CAN,8576,1.85,22698844,1.08,37.782,4.69,17053,0.79,846.627,48.39,60.544,21.0,0.751,27042,3166491,7.82,1668198.0,4.12,3.649,430.4,4834689.0,853509,99.3,0.004,1834,40.0,1033,36.0,118434.068,54,0.601,10,857.6,2269884.0,hms_government,182876.048,0.148,61073.98
ENG,6848,1.48,48958468,2.33,13.987,0.007,2723,0.43,0.0,0.0,254.963,84.1,0.505,22012,526601,87.83,5950445.0,6.45,8.566,0.0,6477046.0,1233399,97.5,0.006,1106,40.0,2576,40.0,97187976.129,0,0.645,9,760.889,5439829.0,proletarian_dictatorship,98405496.359,0.063,1214418.23
UKR,4836,1.05,21387396,1.02,22.611,23.337,855,0.01,70.55,25.0,-2.879,-6.0,0.513,7373,117041,57.75,3881228.0,7.2,1.14,36.0,3998269.0,252959,56.75,0.019,294,40.0,50,14.0,16698.68,0,0.994,5,967.2,4277479.0,democracy,20722.89,0.186,49.21
PEU,4484,0.97,26061332,1.24,17.206,0.082,424,0.0,267.373,50.0,-38.704,-100.0,0.514,10385,305405,71.79,4431645.0,2.86,0.587,100.5,4737050.0,224595,80.31,3.122,805,40.0,264,10.0,5421595.277,723,0.971,6,747.333,4343555.0,democracy,5475265.947,0.151,49724.67
VNZ,2952,0.64,10128448,0.48,29.146,7.477,3296,0.53,0.0,0.0,56.58,29.4,0.634,7080,564032,4.23,1599750.0,2.83,5.195,777.5,2163782.0,455968,77.77,0.002,873,40.0,59,16.0,37101.686,106,0.801,3,984.0,3376149.0,democracy,39483.166,0.234,10.48
HNN,2895,0.63,31888172,1.52,9.079,0.427,41,0.0,0.0,0.0,-0.007,-14.4,0.457,4338,3277,98.42,7093861.0,0.25,0.0,0.0,7097138.0,126723,14.29,1.719,124,12.0,0,10.0,675928.537,0,0.999,3,965.0,10629390.0,presidential_dictatorship,678212.537,0.072,0.0
